"TID","UA"
"TID_CHAT_UNAVAILABLE","Чат відключено на <TIME>"
"TID_CHAT_BANNED_REASON","На вас надійшла скарга через неприпустимі коментарі."
"TID_CHAT_BANNED_PERIOD_OF","Ви заблоковані в глобальному чаті на"
"TID_CHAT_FAIL_BANNED","Ви заблоковані в чаті на <TIME>"
"TID_CHAT_JUST_BANNED","На вас надійшла скарга через неприпустимі коментарі. Ви заблоковані в чаті на <TIME>"
"TID_TENCENT_CUSTOMER_SUPPORT","Служба підтримки Tencent"
"TID_SELF_SERVICE_BUTTON","Самодопомога"
"TID_REPORT_CLUB_CONFIRMATION_TITLE","ПОСКАРЖИТИСЯ НА КЛУБ «<NAME>»?"
"TID_REPORT_CLUB_CONFIRMATION","Точно хочеш повідомити про неприйнятну поведінку з боку клубу «<NAME>»?"
"TID_REPORT_PLAYER_CONFIRMATION_TITLE","Поскаржитися на гравця <NAME>?"
"TID_REPORT_PLAYER_CONFIRMATION","Точно хочеш повідомити про неприйнятну поведінку гравця <NAME>?"
"TID_REPORT_BATTLE_PLAYER_CONFIRMATION_TITLE","Поскаржитися на гравця <NAME>?"
"TID_REPORT_BATTLE_PLAYER_CONFIRMATION","Точно хочеш повідомити про неприйнятну поведінку гравця <NAME>?"
"TID_DELETE_ACCOUNT_TITLE","Видалити обліковий запис"
"TID_UGC_INPUT_FEATURE_UNAVAILABLE","Ця можливість зараз недоступна."
"TID_PLAYER_PROFILE_PRIVATE","Цей гравець приховав свій профіль."
"TID_PLAYER_CLUB_INFO_PRIVATE","Цей гравець приховав інформацію про клуб."
"TID_CLAN_RESPONSE_111","Ця можливість зараз недоступна."
"TID_CLAN_RESPONSE_120","Цей опис не відповідає вимогам. Спробуй змінити його."
"TID_CHINA_LOGIN_DESC_YOOZOO","Наша компанія активно виконує «Конвенцію про запобігання залежності від мережевих ігор у ігровій індустрії», виступає проти шкідливих ігор і відмовляється від піратських ігор. Дбай про самозахист, остерігайся обману. Помірна гра корисна для мозку, але залежність від ігор шкодить здоров’ю. Раціонально плануй час і насолоджуйся здоровим життям. Відповідно до повідомлень Національного управління з питань преси та публікацій «Про запобігання залежності неповнолітніх від мережевих ігор» та «Про подальше суворе управління для реального запобігання залежності неповнолітніх від мережевих ігор», усі користувачі мережевих ігор повинні завершити реєстрацію реального імені з використанням дійсної ідентифікаційної інформації, щоб увійти в гру. Гравці, ідентифіковані як неповнолітні, підпадатимуть під обмеження функції запобігання залежності. Ліцензія мережі Шанхаю [2018] 8544-517, Новий сертифікат мережі (Шанхай) №33. Авторське право: SUPERCELL OY. Видавнича одиниця: Shanghai Yoozoo Information Technology Co., Ltd. Операційна одиниця: Shanghai Yoozoo Information Technology Co., Ltd. Номер затвердження: Guo Xin Chu Shen [2020] 552. Номер видання: ISBN 978-7-498-07472-0."
"TID_YOOZOO_LOGIN_AGREEMENTS","Мною прочитано та прийнято <TOS>, <PP>, <CHILDREN> і <THIRDPARTY>."
"TID_YOOZOO_TERMS_CHILDREN","Посібник із захисту особистих даних дитини від Yoozoo"
"TID_TERMS_CHILDREN_BUTTON_YOOZOO","Посібник із захисту особистих даних дитини від Yoozoo"
"TID_YOOZOO_THIRDPARTY_INFO","Дані, передані стороннім організаціям"
"TID_THIRD_PARTY_SHARING_BUTTON_YOOZOO","Дані, передані стороннім організаціям"
"TID_YOOZOO_SYSTEM_SETTINGS_BUTTON","Системні налаштування"
"TID_SKIN_PIN_INCLUDED","+ унікальний значок!"
"TID_SKIN_PINS_INCLUDED","+ унікальний набір значків!"
"TID_OWN_TEAM_BANS","ЗАБОРОНИ СИНЬОЇ КОМАНДИ"
"TID_ENEMY_TEAM_BANS","ЗАБОРОНИ ЧЕРВОНОЇ КОМАНДИ"
"TID_PRE_PICK_YOUR_BRAWLER","ПОПЕРЕДНІЙ ВИБІР БІЙЦЯ"
"TID_PRE_PICK","ПОПЕРЕДНІЙ ВИБІР"
"TID_CANCEL","СКАСУВАТИ"
"TID_WANTS_TO_PLAY","ХОЧЕ ВИБРАТИ"
"TID_WANT_TO_PLAY","ХОЧУТЬ ГРАТИ"
"TID_WANTS_TO_PLAY_MULTIPLE_TEAMMATES","<num> УЧАСНИКІВ КОМАНДИ"
"TID_BRAWL_PASS_SEASON_11","ЕКСТРИМ-ШОУ"
"TID_SHOP_STUNTSHOW_SKINS","ЕКСТРИМ-ШОУ"
"TID_SHOP_STUNTSHOW_TITLE","ЕКСТРИМ-ШОУ"
"TID_SHOP_STUNTSHOW_INFO","Комплект скінів"
"TID_SKIN_INFO_CAMPAIGN_STUNTSHOW","ЕКСТРИМ-ШОУ"
"TID_EMOTE_BUNDLE_STUNTSHOW_PACK","Значки для скінів «Екстрим-шоу»"
"TID_EMOTE_BUNDLE_GOLDENWEEK_PACK","Значки для скінів «Золотий тиждень»"
"TID_SKIN_INFO_CAMPAIGN_GOLDENWEEK","МИЛOTA"
"TID_SHOP_GOLDENWEEK_SKINS","Скіни «Золотий тиждень»"
"TID_SHOP_GOLDENWEEK_TITLE","ЗОЛОТИЙ ТИЖДЕНЬ"
"TID_SHOP_GOLDENWEEK_INFO","Комплект скінів"
"TID_SPRAY_BRAWLER_COMING_SOON","Спрей для цього бійця скоро з’явиться"
"TID_SHOP_VILLAINS_SKINS","БАНДА ЛИХОДІЇВ"
"TID_SHOP_VILLAINS_TITLE","БАНДА ЛИХОДІЇВ"
"TID_SHOP_VILLAINS_INFO","Комплект скінів"
"TID_EMOTE_BUNDLE_VILLAINS_PACK","БАНДА ЛИХОДІЇВ"
"TID_SKIN_INFO_CAMPAIGN_VILLAINS","БАНДА ЛИХОДІЇВ"
"TID_HOTZONE_33","Відкрита зона"
"TID_KNOCKOUT_18","Свіжий погляд"
"TID_TRUE_GOLD_BELLE_SKIN","ЗОЛОТА БЕЛЛЬ"
"TID_TRUE_GOLD_BELLE_SKIN_SHOP","ЗОЛОТА\nБЕЛЛЬ"
"TID_TRUE_SILVER_BELLE_SKIN","СРІБНА БЕЛЛЬ"
"TID_TRUE_SILVER_BELLE_SKIN_SHOP","СРІБНА\nБЕЛЛЬ"
"TID_TRUE_GOLD_STU_SKIN","ЗОЛОТИЙ СТУ"
"TID_TRUE_GOLD_STU_SKIN_SHOP","ЗОЛОТИЙ\nСТУ"
"TID_TRUE_SILVER_STU_SKIN","СРІБНИЙ СТУ"
"TID_TRUE_SILVER_STU_SKIN_SHOP","СРІБНИЙ\nСТУ"
"TID_TRUE_GOLD_ASH_SKIN","ЗОЛОТИЙ ЕШ"
"TID_TRUE_GOLD_ASH_SKIN_SHOP","ЗОЛОТИЙ\nЕШ"
"TID_TRUE_SILVER_ASH_SKIN","СРІБНИЙ ЕШ"
"TID_TRUE_SILVER_ASH_SKIN_SHOP","СРІБНИЙ\nЕШ"
"TID_TRUE_GOLD_MEG_SKIN","ЗОЛОТА МЕГ"
"TID_TRUE_GOLD_MEG_SKIN_SHOP","ЗОЛОТА\nМЕГ"
"TID_TRUE_SILVER_MEG_SKIN","СРІБНА МЕГ"
"TID_TRUE_SILVER_MEG_SKIN_SHOP","СРІБНА\nМЕГ"
"TID_TRUE_GOLD_LOLA_SKIN","ЗОЛОТА ЛОЛА"
"TID_TRUE_GOLD_LOLA_SKIN_SHOP","ЗОЛОТА\nЛОЛА"
"TID_TRUE_SILVER_LOLA_SKIN","СРІБНА ЛОЛА"
"TID_TRUE_SILVER_LOLA_SKIN_SHOP","СРІБНА\nЛОЛА"
"TID_CRASH_TEST_DARRYL_SKIN","КРАШ-ТЕСТЕР ДЕРРІЛ"
"TID_CRASH_TEST_DARRYL_SKIN_SHOP","КРАШ-ТЕСТЕР\nДЕРРІЛ"
"TID_BIKER_CARL_SKIN","БАЙКЕР КАРЛ"
"TID_BIKER_CARL_SKIN_SHOP","БАЙКЕР\nКАРЛ"
"TID_PYRO_SPIKE_SKIN","ПІРОТЕХНІК СПАЙК"
"TID_PYRO_SPIKE_SKIN_SHOP","ПІРОТЕХНІК\nСПАЙК"
"TID_MONSTER_TRUCK_MEG_SKIN","МОНСТР-ТРАКЕР МЕГ"
"TID_MONSTER_TRUCK_MEG_SKIN_SHOP","МОНСТР-ТРАКЕР\nМЕГ"
"TID_OVERLORD_BYRON_SKIN","ПОВЕЛИТЕЛЬ БАЙРОН"
"TID_OVERLORD_BYRON_SKIN_SHOP","ПОВЕЛИТЕЛЬ\nБАЙРОН"
"TID_GALAXY_STORM_LOLA_SKIN","АСТРОЛОЛА"
"TID_GALAXY_STORM_LOLA_SKIN_SHOP","АСТРОЛОЛА"
"TID_EMPRESS_BONNIE_SKIN","ІМПЕРАТРИЦЯ БОННІ"
"TID_EMPRESS_BONNIE_SKIN_SHOP","ІМПЕРАТРИЦЯ\nБОННІ"
"TID_TEMPEST_TARA_SKIN","КОЧІВНИЦЯ ТАРА"
"TID_TEMPEST_TARA_SKIN_SHOP","КОЧІВНИЦЯ\nТАРА"
"TID_VALKYRIE_JANET_SKIN","ВАЛЬКІРІЯ ДЖАНЕТ"
"TID_VALKYRIE_JANET_SKIN_SHOP","ВАЛЬКІРІЯ\nДЖАНЕТ"
"TID_DARUMA_MRP_SKIN","ДАРУМА МІСТЕР П."
"TID_DARUMA_MRP_SKIN_SHOP","ДАРУМА\nМІСТЕР П."
"TID_SKIN_INFO_CAMPAIGN_LANTERN","ПІСКИ ЧАСУ"
"TID_ACCESSORY_DRILLER_REBUILD","ПЕРЕБУДОВА"
"TID_ACCESSORY_DRILLER_REBUILD_DESC","Джекі перебудовує околиці в невеликому радіусі навколо себе."
"TID_ACCESSORY_ASSAULT_SHOTGUN_PROJECTILES","ЛАВИНА МОНЕТ"
"TID_ACCESSORY_ASSAULT_SHOTGUN_PROJECTILES_DESC","Під час наступної атаки Гріфф кидає на <c00cc00><VALUE1> %</c> більше монет."
"TID_ACCESSORY_FIRE_DUDE_FLAME_SHIELD","ТАНЦЮЮЧЕ ПОЛУМ’Я"
"TID_ACCESSORY_FIRE_DUDE_FLAME_SHIELD_DESC","Навколо Ембер на <c00cc00><VALUE2> с.</c> з’являються летючі вогні (<c00cc00><VALUE3></c>), які завдають <c00cc00><VALUE1> од.</c> шкоди при ударі."
"TID_ACCESSORY_MECHA_DUDE_TOWER_RELOAD","ЯЩИК З ІНСТРУМЕНТАМИ"
"TID_ACCESSORY_MECHA_DUDE_TOWER_RELOAD_DESC","Мег ставить ящик з інструментами, який прискорює перезарядку союзників поблизу на <c00cc00><VALUE1> %</c>, поки його не знищать."
"TID_ACCESSORY_ROPE_DUDE_VISION","РЕНТГЕНІВСЬКІ ОКУЛЯРИ"
"TID_ACCESSORY_ROPE_DUDE_VISION_DESC","Протягом <c00cc00><VALUE1></c> с. Базз бачить крізь кущі в радіусі дії свого Супера."
"TID_LOGIN_CALENDAR_ALREADY_HAVE_BRAWLER","У тебе вже є цей боєць."
"TID_LOGIN_CALENDAR_ALREADY_HAVE_GADGET","У тебе вже є цей гаджет."
"TID_LOGIN_CALENDAR_ALREADY_HAVE_STAR_POWER","У тебе вже є ця зіркова сила."
"TID_LOGIN_CALENDAR_FINAL_REWARD_MESSAGE","БЕЗКОШТОВНИЙ <cFF92F9>ЕПІЧНИЙ</c> БОЄЦЬ НА 15-Й ДЕНЬ"
"TID_LOGIN_CALENDAR_WARNING_MESSAGE","<cFFB820>НЕ ПРОПУСКАЙ ДНІ,</c> інакше не отримаєш решту подарунків!"
"TID_POWER_LEAGUE_BRAWLER_REQUIREMENT_SELECT","Для гри в цій події потрібно розблокувати щонайменше 12 бійців."
"TID_TEAM_ERROR_134","Для гри в цій події потрібно розблокувати щонайменше 12 бійців."
"TID_MATCHMAKE_FAILED_25","Для гри в цій події потрібно розблокувати щонайменше 12 бійців."
"TID_POWER_LEAGUE_BRAWLER_REQUIREMENT_INVITE","У гравця недостатньо бійців, щоб брати участь у цій події."
"TID_TEAM_ERROR_133","У гравця недостатньо бійців, щоб брати участь у цій події."
"TID_REWARD_SPRAY_SLOT","ДОДАТКОВА КОМІРКА ДЛЯ СПРЕЮ"
"TID_SPRAY_SLOT_TITLE","КОМІРКА ДЛЯ СПРЕЮ"
"TID_KNOCKOUT_19","Місце удару"
"TID_BANKHEIST_31","Руки геть"
"TID_LOGIN_CALENDAR_FINAL_REWARD","БЕЗКОШТОВНИЙ <cFF92F9>ЕПІЧНИЙ</c> БОЄЦЬ"
"TID_LOGIN_CALENDAR_OR","АБО"
"TID_LOGIN_CALENDAR_BRAWLER_UPGRADED","ПОКРАЩЕННЯ БІЙЦЯ!"
"TID_LOGIN_CALENDAR_TOOLTIP_SKIN","Розблокуй новий скін для бійця!\n\nОтриманий скін можна застосувати на екрані бійця. Якщо у бійця є хоча б один скін, вибери бійця і торкнися іконки з вішалкою."
"TID_LOGIN_CALENDAR_TOOLTIP_CHOOSE_BRAWLER","Вибери, якого бійця розблокувати наступним!"
"TID_LOGIN_CALENDAR_TOOLTIP_UPGRADE_BRAWLER","Покращуй бійця! Кожен новий рівень сили збільшує запас здоров’я, а також шкоду від атаки та Супера. На 7-му рівні сили відкривається комірка гаджета, а на 9-му — комірка зіркової сили."
"TID_LOGIN_CALENDAR_TOOLTIP_PIN_1","Використовуй значки для спілкування в бою. Значки можна вибрати на екрані бійця."
"TID_LOGIN_CALENDAR_TOOLTIP_PIN_2","Використовуй значки для спілкування в бою. Значки можна вибрати на екрані бійця."
"TID_LOGIN_CALENDAR_TOOLTIP_GADGETS","Вибери гаджет для бійця. Гаджети — це додаткові здібності, які можна застосувати до 3 разів за бій. Гаджети кожного бійця унікальні."
"TID_LOGIN_CALENDAR_TOOLTIP_STAR_POWER","Вибери зіркову силу для бійця. Зіркові сили — це додаткові пасивні здібності бійця. У кожного бійця є свої унікальні зіркові сили."
"TID_LOGIN_CALENDAR_TUTORIAL_TOOLTIP","Перший щоденний подарунок уже чекає на тебе!\nТоркнися, щоб ЗАБРАТИ."
"TID_LOGIN_CALENDAR_STARR_PARK","ПАРК СТАРР"
"TID_LOGIN_CALENDAR_LOYALTY_PROGRAM","ПРОГРАМА ЛОЯЛЬНОСТІ"
"TID_LOGIN_CALENDAR_TITLE","ПРОГРАМА ЛОЯЛЬНОСТІ ПАРКУ СТАРР"
"TID_REWARD_DESC_PLAYER_ICON_REGULAR","ІКОНКА ГРАВЦЯ"
"TID_CLUB_LEAGUE_CLUB_COINS_HOW_TO_GET","Заробляй монети клубу, беручи участь в іграх клубів."
"TID_CLUB_EVENTS_TITLE","ІГРИ КЛУБІВ"
"TID_CLUB_EVENTS_LEAGUE_TAB_DAY","ДЕНЬ ПОДІЙ"
"TID_CLUB_EVENTS_LEAGUE_TAB_EVENT_DAY","ДЕНЬ ПОДІЙ <NUM>"
"TID_CLUB_EVENTS_LEAGUE_TAB_EVENT_DAY_COMPLETE","ЗАВЕРШЕНО"
"TID_CLUB_EVENTS_LEAGUE_TAB_SEASON","ТИЖДЕНЬ"
"TID_CLUB_EVENTS_TAB_LEAGUE","ЛІГА"
"TID_CLUB_EVENTS_TAB_QUESTS","КВЕСТИ"
"TID_CLUB_EVENTS_BUTTON_CLUB_SHOP","МАГАЗИН КЛУБУ"
"TID_CLUB_LEAGUE_MEMBER_RANKINGS_NUM_DESC_IS_TOP","У клубі враховуються результати з 1-го по <TOP>-е місце. Твоє місце: <NUM>."
"TID_CLUB_LEAGUE_MEMBER_RANKINGS_NUM_DESC_NOT_TOP","У клубі враховуються результати з 1-го по <TOP>-е місце. Твоє місце: <cF76263><NUM></c>."
"TID_CLUB_LEAGUE_MEMBER_RANKINGS_NUM_DESC_NOT_RANKED","У клубі враховуються результати з 1-го по <TOP>-е місце. <cF76263>Ти поки не займаєш жодного місця.</c>"
"TID_CLUB_INFO_TOP_EVENT_DAY_PLAYER_DIVIDER","У клубі враховуються результати з 1-го по <TOP>-е місце."
"TID_CLUB_QUESTS_PLAYER_REWARD_DESC","НАГОРОДА КІНЦЯ ТИЖНЯ"
"TID_CLUB_QUESTS_LOCKED_REWARD_DESC","ВИКОНАЙ БУДЬ-ЯКИЙ КВЕСТ КЛУБУ, ЩОБ РОЗБЛОКУВАТИ"
"TID_CLUB_QUESTS_REWARD_TRACK_OVERLAY","Набери <POINTS> очок з клубом, щоб отримати цю нагороду в кінці тижня!"
"TID_CLUB_QUESTS_REWARD_TRACK_OVERLAY_CURRENT","Це поточна нагорода, яку можна буде отримати в кінці тижня."
"TID_CLUB_QUESTS_REWARD_TRACK_OVERLAY_LOCKED","Виконай будь-який квест клубу, щоб отримати цю нагороду в кінці тижня!"
"TID_CLUB_QUESTS_LEAGUES_BUTTON","ЛІГИ"
"TID_CLUB_QUESTS_LEAGUES_DESC","Просувайтеся в лігах, щоб збільшити МАКСИМАЛЬНУ НАГОРОДУ."
"TID_CLUB_QUESTS_RANKS_CURRENT_LEAGUE","ПОТОЧНА ЛІГА"
"TID_CLUB_QUESTS_RANKS_MAX_REWARD","МАКС. НАГОРОДА"
"TID_CLUB_QUESTS_RANKS_MESSAGE","Максимальна нагорода залежить від рівня клубної ліги. Просувайтеся в лігах, щоб збільшити кількість монет клубу в нагороді!"
"TID_CLUB_QUESTS_RANKS_TITLE","ЛІГИ"
"TID_CLUB_QUESTS_FLOW_NEW_SEASON","Новий тиждень!"
"TID_CLUB_QUESTS_FLOW_SEASON_ENDED","Тиждень закінчився!"
"TID_CLUB_QUESTS_FLOW_CLUB_QUESTS","КВЕСТИ КЛУБУ"
"TID_CLUB_QUESTS_FLOW_MAX_REWARD","МАКС. НАГОРОДА"
"TID_CLUB_QUESTS_FLOW_BUTTON_GO","ПРИЙНЯТИ"
"TID_CLUB_QUESTS_FLOW_BUTTON_GO_SEASON_START","ВПЕРЕД"
"TID_CLUB_QUESTS_FLOW_BUTTON_GO_SEASON_END","ОК"
"TID_CLUB_QUESTS_FLOW_SEASON_RANK","Місце за підсумками тижня"
"TID_CLUB_QUESTS_FLOW_END_OF_SEASON_REWARD","НАГОРОДА КІНЦЯ ТИЖНЯ"
"TID_CLUB_QUESTS_FLOW_CLUB_COIN_REWARD","<NUM>/<MAX>"
"TID_CLUB_QUESTS_DOUBLE_PROGRESS_BADGE","<cFCF044> x2</c>"
"TID_CLUB_QUESTS_DOUBLE_PROGRESS_DESC","Зіграй з учасником клубу хоча б раз, щоб <cFCF044>ПОДВОЇТИ</c> очки за проходження квесту."
"TID_CLUB_QUESTS_ALL_COMPLETED_DESC","Усі квести клубу цього тижня виконані!"
"TID_CLUB_QUEST_ALREADY_COMPLETED","Цей квест клубу вже виконано!"
"TID_CLUB_QUESTS_SEASON_ENDS_IN_TIME","До кінця тижня:"
"TID_CLUB_QUESTS_REWARD_LOCKED_DESC","1 квест розблоковує нагороду!"
"TID_CLUB_QUESTS_COMPLETED_NUM","Виконано квестів: <NUM>/<MAX>"
"TID_CLUB_QUESTS_TITLE","КВЕСТИ КЛУБУ"
"TID_CLUB_QUESTS_NEW_SEASON","НОВИЙ ТИЖДЕНЬ!"
"TID_CLUB_QUESTS_SEASON_END_NOTIFICATION","ТИЖДЕНЬ КВЕСТІВ КЛУБУ ЗАКІНЧИВСЯ. У нагороду ти отримуєш <cEE1B39>монети клубу</c> (<COINS>)!"
"TID_CLUB_QUESTS_CONTRIBUTIONS_TITLE","ВНЕСОК НА ЦЬОМУ ТИЖНІ"
"TID_CLUB_QUESTS_CONTRIBUTIONS_MEMBERS","Учасники клубу: <NUM>"
"TID_CLUB_QUESTS_CLUB_TEAM_BONUS","x2 БОНУС КЛУБНОЇ КОМАНДИ"
"TID_CLUB_QUESTS_TEAM_BONUS_POPUP_TITLE","БОНУС КОМАНДНОЇ ГРИ!"
"TID_CLUB_QUESTS_TEAM_BONUS_POPUP_DESC","Зіграй хоча б з одним учасником клубу, щоб <cFCF044>ПОДВОЇТИ</c> очки за проходження квесту клубу!"
"TID_CLUB_QUESTS_TEAM_BONUS_POPUP_PROGRESS","Прогрес у квестах клубу"
"TID_CLUB_QUESTS_TEAM_BONUS_POPUP_X2","x2"
"TID_CLUB_QUESTS_TEAM_BONUS_POPUP_PLAY_SOLO","ОДИНОЧНА ГРА"
"TID_CLUB_QUESTS_TEAM_BONUS_POPUP_ONLINE","У мережі: <NUM>"
"TID_CLUB_QUESTS_TEAM_BONUS_POPUP_TEAM_UP","ГРАЙ У КОМАНДІ!"
"TID_CLUB_QUESTS_WARNING_NOT_AVAILABLE","Ти можеш грати тільки за клуб, у якому був розпочатий цей тиждень.\n\nДочекайся наступного тижня, щоб зіграти за цей клуб!"
"TID_CLUB_QUESTS_SEASON_END_REWARD_CLAIMED","ОТРИМАНО"
"TID_CLUB_LEAGUE_WARNING_NOT_AVAILABLE","На жаль, твій клуб не бере участі в тижні Ліги клубів. Ти зможеш позмагатися з іншими клубами, коли почнеться наступний тиждень Ліги клубів."
"TID_CLUB_EVENT_TIME_LEFT","До кінця <TIME>"
"TID_SHOP_CLUB_SHOP_SEE_OFFERS","ПОДИВИТИСЯ АКЦІЇ"
"TID_SHOP_CLUB_SHOP_TITLE","МАГАЗИН КЛУБУ"
"TID_SHOP_CLUB_SHOP_DESC","ПРИСКОР ПРОСУВАННЯ"
"TID_SHOP_OFFER_INFO_25","Нова іконка гравця!"
"TID_LOGIN_CALENDAR_TUTORIAL_COME_BACK","<cFFB820>ПОВЕРТАЙСЯ ЗАВТРА,</c> щоб ЗАБРАТИ цей подарунок, інакше не отримаєш решту!"
"TID_BRAWLBALL_49","Відскок"
"TID_BRAWLBALL_50","Стрімголов"
"TID_BRAWLBALL_51","Рекорд"
"TID_BRAWLBALL_52","Пінг-понг"
"TID_INBOX_CAPTION_72_68","ВИ ОТРИМУЄТЕ СПРЕЙ"
"TID_SILENCER","ОТІС"
"TID_SILENCER_SHORT_DESC","КОНТРОЛЬ"
"TID_SILENCER_DESC","Отіс — перспективний вуличний художник, який використовує чорнила замість фарби. Ніхто не знайомий з ним особисто, але загадковість — частина його іміджу!"
"TID_SILENCER_WEAPON","ЧОРНИЛА"
"TID_SILENCER_WEAPON_DESC","Отіс розбризкує чорнила з рушниці, зарядженої фарбою."
"TID_SILENCER_ULTI","НА ДНІ"
"TID_SILENCER_ULTI_DESC","Отіс кидає Сіла, який чіпляється за противника при зіткненні і протягом короткого часу не дає тому атакувати."
"TID_SPEC_ABI_SILENCER_1","ПРИЛИПАЛА"
"TID_SPEC_ABI_SILENCER_1_DESC","Сіл з усієї сили стискає противника, не дозволяючи тому атакувати на <c00cc00><VALUE1> %</c> довше."
"TID_SPEC_ABI_SILENCER_2","ЗАПАСНИЙ КАРТРИДЖ"
"TID_SPEC_ABI_SILENCER_2_DESC","Кількість чорнильних крапель, що розбризкує Отіс, збільшується на <c00cc00><VALUE1> %</c>."
"TID_ACCESSORY_SILENCER_GADGET_1","СПЛЯЧА ЗІРКА"
"TID_ACCESSORY_SILENCER_GADGET_1_DESC","Якщо наступна морська зірка не влучить у противника, вона замре на землі, поки поблизу не з’явиться ворог."
"TID_ACCESSORY_SILENCER_GADGET_2","ВЕЛИКИЙ ПЛЮСК"
"TID_ACCESSORY_SILENCER_GADGET_2_DESC","Наступна атака Отіса — постріл величезною кулею чорнил, що залишає калюжу, яка завдає <c00cc00><VALUE1> очк.</c> шкоди протягом <c00cc00><VALUE2> с.</c>"
"TID_RANDOM_GAME_MODE","ЗАГАДКА"
"TID_NOTIFICATION_RANDOM","Нова ЗАГАДКОВА карта! Вперед за нагородами!"
"TID_SKIN_INFO_DEEPSEA","ЛІГА МОРСЬКИХ ГЛИБИН"
"TID_EMOTE_BUNDLE_DEEPSEA_PACK","Значки для скінів «Морські глибини»"
"TID_SUGGEST","ПРОПОНУВАТИ"
"TID_SUGGEST_CANCEL","СКАСУВАТИ"
"TID_PURCHASE_BRAWL_PASS_INFO_SHOP","НАЙКРАЩА АКЦІЯ BRAWL STARS!"
"TID_SUGGESTED_BY","Запропоновано гравцем"
"TID_SHOP_DEEPSEA_SKINS","Скін «Морські глибини»"
"TID_SHOP_DEEPSEA_TITLE","МОРСЬКІ ГЛИБИНИ"
"TID_SHOP_DEEPSEA_INFO","Комплект скінів"
"TID_SKIN_INFO_BT21","BT21"
"TID_CLUB_EVENTS_ONBOARDING_TITLE","ІГРИ КЛУБІВ"
"TID_CLUB_EVENTS_ONBOARDING_SUBTITLE","Прискор просування і зароби унікальні скіни!"
"TID_CLUB_EVENTS_ONBOARDING_PAGE_1_TITLE","Ласкаво просимо на щотижневі\nІГРИ КЛУБІВ!"
"TID_CLUB_EVENTS_ONBOARDING_NEW_GAME","Нова клубна гра!"
"TID_CLUB_EVENTS_ONBOARDING_PAGE_2_TITLE","ЛІГА КЛУБІВ"
"TID_CLUB_EVENTS_ONBOARDING_PAGE_2_DESCRIPTION","Змагайся з іншими клубами!\nПросувайся в лігах!"
"TID_CLUB_EVENTS_ONBOARDING_PAGE_3_TITLE","КВЕСТИ КЛУБУ"
"TID_CLUB_EVENTS_ONBOARDING_PAGE_3_DESCRIPTION","Виконуй квести разом із клубом!"
"TID_CLUB_EVENTS_ONBOARDING_PAGE_4_1","Грай разом із клубом! Щотижня доступна 1 гра."
"TID_CLUB_EVENTS_ONBOARDING_PAGE_4_2","Заробляй монети клубу!"
"TID_CLUB_EVENTS_ONBOARDING_PAGE_4_3","Роби покупки в магазині клубу, щоб просуватися швидше!"
"TID_SUGGEST_TITLE","Запропонувати бійця"
"TID_CLUB_LEAGUE_TOP_24_REWARDS","Усі гравці мають право на нагороду в кінці тижня."
"TID_CLUB_LEAGUE_STARTS_IN","До початку Ліги клубів:"
"TID_CLUB_QUESTS_STARTS_IN","До початку квестів клубу:"
"TID_SHOWDOWN_71","Батутний парк"
"TID_SHOWDOWN_72","Спідвей"
"TID_SHOWDOWN_73","Доганялки"
"TID_CLUB_QUESTS_NOT_AVAILABLE","Квести клубу зараз недоступні."
"TID_CLUB_LEAGUE_NOT_AVAILABLE","Ліга клубів зараз недоступна."
"TID_CLUB_QUESTS_WEEK_ACTIVE","ТИЖДЕНЬ КВЕСТІВ активний:"
"TID_CLUB_LEAGUE_WEEK_ACTIVE","ТИЖДЕНЬ ЛІГИ активний:"
"TID_CLUB_EVENTS_ACTIVE","Активно"
"TID_CLUB_EVENTS_STARTING","Скоро почнеться"
"TID_CLUB_EVENTS_WAITING","Очікування"
"TID_CLUB_LEAGUE_PREVIOUS_WEEK","ПОПЕРЕДНІЙ ТИЖДЕНЬ"
"TID_CLUB_LEAGUE_RESULTS","Результати:"
"TID_CLUB_LEAGUE_WEEK_STARTS_IN_SHORT","ДО ТИЖНЯ ЛІГИ:"
"TID_CLUB_QUESTS_WEEK_STARTS_IN_SHORT","ДО ТИЖНЯ КВЕСТІВ:"
"TID_CLUB_LEAGUE_WEEK_STARTS_IN","До наступного тижня Ліги: <TIME>"
"TID_CLUB_QUESTS_WEEK_STARTS_IN","До наступного тижня квестів: <TIME>"
"TID_CLUB_LEAGUE_WEEK_SCHEDULE","РОЗКЛАД"
"TID_CLUB_QUESTS_PREVIOUS_WEEK_REWARD","НАГОРОДА ЗА ПОПЕРЕДНІЙ ТИЖДЕНЬ"
"TID_CLUB_LEAGUE_WEEK_STARTS_IN_TEXT","Наступний тиждень Ліги клубів"
"TID_CLUB_LEAGUE_WEEK_STARTS_IN_TIME","починається через: <TIME>"
"TID_CLUB_EVENTS_PREVIOUS_WEEK","ТИЖДЕНЬ ЗАКІНЧИВСЯ!"
"TID_BT21_SANDY_SKIN","СЕНДІ KOYA"
"TID_BT21_SANDY_SKIN_SHOP","СЕНДІ\nKOYA"
"TID_BT21_EDGAR_SKIN","ЕДГАР TATA"
"TID_BT21_EDGAR_SKIN_SHOP","ЕДГАР\nTATA"
"TID_BT21_RUFFS_SKIN","ГАВС CHIMMY"
"TID_BT21_RUFFS_SKIN_SHOP","ГАВС\nCHIMMY"
